Text,KM,Ano,Valor
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 17768,2021/2022,"R$ 167.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 62930,2020/2021,"R$ 117.900,00"
CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,KM 83550,2018/2019,"R$ 57.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 36898,2021/2021,"R$ 56.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P MANUAL,KM 53016,2017/2018,"R$ 63.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P MANUAL,KM 65021,2018/2019,"R$ 70.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,KM 16000,2021/2022,"R$ 296.900,00"
CITROEN AIRCROSS 1.6 LIVE 16V FLEX 4P AUTOMÁTICO,KM 54761,2016/2017,"R$ 57.900,00"
VOLKSWAGEN FOX 1.6 MSI COMFORTLINE 8V FLEX 4P MANUAL,KM 71136,2016/2017,"R$ 58.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 41609,2019/2020,"R$ 112.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 44651,2020/2021,"R$ 98.900,00"
JEEP RENEGADE 1.8 16V FLEX LIMITED 4P AUTOMÁTICO,KM 44056,2019/2019,"R$ 99.900,00"
CHEVROLET TRACKER 1.2 TURBO FLEX LTZ AUTOMÁTICO,KM 67896,2020/2021,"R$ 123.900,00"
VOLKSWAGEN SAVEIRO 1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL,KM 53975,2019/2020,"R$ 76.900,00"
RENAULT CAPTUR 1.6 16V SCE FLEX ZEN MANUAL,KM 85787,2017/2018,"R$ 78.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX XTREME 4P MANUAL,KM 81342,2017/2018,"R$ 66.900,00"
TOYOTA HILUX SW4 3.0 SRV 4X4 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 214220,2012/2013,"R$ 154.900,00"
VOLKSWAGEN GOLF 1.4 TSI VARIANT COMFORTLINE 16V GASOLINA 4P AUTOMÁTICO,KM 102249,2015/2016,"R$ 89.200,00"
PEUGEOT 2008 1.6 16V FLEX CROSSWAY 4P AUTOMÁTICO,KM 43903,2017/2018,"R$ 79.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 19774,2021/2021,"R$ 131.900,00"
TOYOTA COROLLA 2.0 VVT-IE FLEX XEI DIRECT SHIFT,KM 77199,2020/2021,"R$ 135.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 49559,2018/2019,"R$ 78.900,00"
VOLKSWAGEN VIRTUS 1.6 MSI TOTAL FLEX AUTOMÁTICO,KM 118388,2019/2020,"R$ 79.900,00"
TOYOTA COROLLA 2.0 XEI 16V FLEX 4P AUTOMÁTICO,KM 29532,2018/2019,"R$ 116.900,00"
HYUNDAI CRETA 1.6 16V FLEX ATTITUDE AUTOMÁTICO,KM 20797,2021/2021,"R$ 102.900,00"
VOLKSWAGEN POLO 1.0 200 TSI HIGHLINE AUTOMÁTICO,KM 89781,2018/2019,"R$ 89.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 47104,2019/2020,"R$ 109.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 15087,2021/2022,"R$ 99.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 44866,2020/2021,"R$ 115.900,00"
JEEP COMPASS 2.0 16V FLEX LIMITED AUTOMÁTICO,KM 39337,2020/2020,"R$ 147.900,00"
FIAT TORO 2.0 16V TURBO DIESEL FREEDOM 4WD MANUAL,KM 105655,2016/2017,"R$ 105.900,00"
